İstanbul;(42. Yarış Günü);17/07/2022
1. Kosu :   15:15;ŞARTLI 4/DHÖW/Y2; 4 Yaşlı Araplar; 58.00kg; 1900m; Çim;;;;Rekor Derece :2.04.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)76.000 TL;2.)30.400 TL;3.)15.200 TL;4.)7.600 TL;5.)3.800 TL;1.)13.110 TL;2.)5.244 TL;3.)2.622 TL;4.)1.311 TL;5.)656 TL;
1;ÇAKALINOĞLU SK BB;5y d  a;ÇAKAL CARLOS;DOUBLE TROUBLE;56,5;Ö.YILDIRIM;BARAN D. CEMİLOĞLU;B.REFİKOĞLU;6 - DS;%53.03(1)  %48.44(1);101;2:05.35;1,30;2 Boy
2;KOCA SEYİD KG DB SK;5y d  a;SMART ROBIN (JPN);RED BIRD;58,5;VEDAT ABİŞ;MEHMET ÇAVUŞ;N.KÖÇKEN;3;%4.07(6)  %4.64(6);77;2:05.70;21,65;3,5 Boy
3;JAWINGER SK;4y d  g;SMART ROBIN (JPN);TRACE;60;G.KOCAKAYA;TUĞBA YÜCELENMİŞ;İB.B.OĞULLARI;7 - DS;%12.05(3)  %12.53(3);86;2:06.27;5,75;1,5  Boy
4;WINNER MAN KG DB SK;5y d  a;WIN RIVER WIN (USA);EMMA;56,5;G.ÖZÇELİK;CEM NARİN;S.DURGUÇ;9 - DS;%5.46(4)  %6.32(4);90;2:06.50;7,75;3 Boy
5;ZLATIBOR DB SK;5y d  a;VICTORY GALLOP (CAN);GOLD BIHAR;57,5;A.SÖZEN;DEMİRHAN YILMAZ;S.BEKTAŞ;5;%2.52(7)  %3.06(7);79;2:06.90;17,95;
6;MAGNUM OPUS;5y d  a;KANEKO;ZAEEMAH (IRE);58,5;A.ÇELİK;T. İZZET AKSOY;A.TEPEBAŞI;4;%13.8(2)  %13.97(2);98;2:06.92;6,50;
7;KING SERKAN KG DB SK;7y d  a;YONAGUSKA (USA);SELCANIM;56,5;O.ÖZTÜRK;A.MURAT ŞEN;M.ÖZDİL;8 - DS;%4.46(5)  %5.4(5);101;2:06.97;24,65;
8;EĞİL ATEŞİ K GKR;6y d  a;DEĞİRMENDERELİ;SAHRA;56,5;MÜS.ÇELİK;NİHAT ARSLAN;R.DURUKAN;2;%1.5(9)  %1.91(9);68;2:08.32;31,25;
9;STEEL MAN K;5y d  a;LUXOR;BERTINORO;60,5;M.ÇİÇEK;HIDIR TAŞDEMİR;E.USLU;10 - DS;%1.74(8)  %2.13(8);78;2:09.32;27,45;
10;ZİRKON SK;4y k  a;GENERAL QUARTERS (USA);AMARILLO;60;T.YILDIZ;YENER GİRİŞKEN;N.KÖÇKEN;1;%1.38(10)  %1.6(10);81;2:09.45;59,00;
GANYAN(7) :1,30 TL, 1. 3'LÜ GANYAN(6/8/7) :6,75 TL, İKİLİ(4/7) :11,15 TL, SIRALI İKİLİ(7/4) :11,85 TL, ÜÇLÜ BAHİS(7/4/2) :21,73 TL, PLASE(4) :1,45 TL, PLASE(7) :1,05 TL, PLASE İKİLİ(2/4) :10,40 TL, PLASE İKİLİ(2/7) :3,10 TL, PLASE İKİLİ(4/7) :5,60 TL, 4. ÇİFTE(8/7) :4,20 TL

6. Kosu :  ÖZDEMİR ATMAN KOŞUSU 18:00;G 3/Dişi; 3 Yaşlı İngilizler; 58.00kg; 2100m; Çim;;;;Rekor Derece :2.06.90
İkramiye;;;;;Yetiştirici Primi;;;;
1.)225.000 TL;2.)90.000 TL;3.)45.000 TL;4.)22.500 TL;5.)11.250 TL;1.)64.688 TL;2.)25.875 TL;3.)12.938 TL;4.)6.469 TL;5.)3.234 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
